toxic-rest-0	把这帮小自贤孙虫报	把这帮孝子贤孙冲爆	[(4, '孝'), (5, '子'), (8, '冲'), (9, '爆')]
toxic-rest-13	跟犯罪率没有必然关系，跟历史，语言，文化元因有很大关系。地域冲突本质上是男人间的冲突，安徽男人相当一部分是哪怕外表客气，内心里还是相当自大的，老子天下第一，即便兜里没钱。至于你在另一个回答里面说安徽男人性格软，说明你根本不了解身边的安徽男人，当年在天涯上海，一群安徽人要打著名上海碰字“趴趴鸭”。可以说，历史上欺负江浙沪最多的就是安徽人。除了我之前列举的那些，还有明朝时淮西集团对浙东集团的打压。为什么明朝时东林党最后只顾党争不顾国家，因为他们基本上都是苏南浙江官员，鼎鼎大名的钱谦益就是代表。江浙沪三地，真正优秀的是浙江人，安徽人与浙江人合作容易成事:比如周瑜与孙权，朱元璋与刘伯温。浙江人兼具才华，胸怀，城府，隐忍等诸多品质。江苏人跟浙江人比，缺少胸怀与城府，心里藏不住事，啥都表现在外表，得罪人最多。至于传统意义上的上海人，在上海将会越来越边缘化，上海滩真正牛逼的是浙江人。	跟犯罪率没有必然关系，跟历史，语言，文化原因有很大关系。地域冲突本质上是男人间的冲突，安徽男人相当一部分是哪怕外表客气，内心里还是相当自大的，老子天下第一，即便兜里没钱。至于你在另一个回答里面说安徽男人性格软，说明你根本不了解身边的安徽男人，当年在天涯上海，一群安徽人要打著名上海喷子“趴趴鸭”。可以说，历史上欺负江浙沪最多的就是安徽人。除了我之前列举的那些，还有明朝时淮西集团对浙东集团的打压。为什么明朝时东林党最后只顾党争不顾国家，因为他们基本上都是苏南浙江官员，鼎鼎大名的钱谦益就是代表。江浙沪三地，真正优秀的是浙江人，安徽人与浙江人合作容易成事:比如周瑜与孙权，朱元璋与刘伯温。浙江人兼具才华，胸怀，城府，隐忍等诸多品质。江苏人跟浙江人比，缺少胸怀与城府，心里藏不住事，啥都表现在外表，得罪人最多。至于传统意义上的上海人，在上海将会越来越边缘化，上海滩真正牛逼的是浙江人。	[(21, '原'), (141, '喷'), (142, '子')]
toxic-rest-14	不要看到几个就觉得霉黑很严重，反正我见不少黑人，只看到一个体重两百斤的没黑女和黑人在一起	不要看到几个就觉得霉黑很严重，反正我见不少黑人，只看到一个体重两百斤的没黑女和黑人在一起	[]
toxic-rest-15	绝对不可能，当然避免被喷，我觉得在讨论接受与黑人处过的女孩前，先问清楚她为毛非得和黑人处，以及后来处不了分手的元因。	绝对不可能，当然避免被喷，我觉得在讨论接受与黑人处过的女孩前，先问清楚她为毛非得和黑人处，以及后来处不了分手的原因。	[(56, '原')]
toxic-rest-16	大多是被后天教育出的利女男，以为能用舔和服从换来爱情此内人是优良的供养者	大多是被后天教育出的利女男，以为能用舔和服从换来爱情此类人是优良的供养者	[(28, '类')]
toxic-rest-17	1孩子都是女人生的，为什么多几千万，你们女人最清楚。2.我没看懂。3.为什么不是双表？女人和男人不一样。你的女儿被别人玩了，和你的儿子玩了别人能一样吗？等你有儿女了你就明白了。再说了在民族利益面前，双表算什么？美国为了自己的利益，不是每天都双表吗？而且美国照样世界第一。不双表有可能是没有能力双表而已，并不是因为道德感。4.有什么不敢承认的，人口本来就是资源，为什么要让给外国人，这些外国人拿着中国补贴，打着中国疫苗，玩着中国女人，嘴里说着我爱中国，转过头就在外网上曝光easy girl 并配上污秽不堪的文字羞辱中国人。外国人墙件中国女人的新闻有多少被压下去了？新闻爆出来的只是冰山一角。未完	1孩子都是女人生的，为什么多几千万，你们女人最清楚。2.我没看懂。3.为什么不是双标？女人和男人不一样。你的女儿被别人玩了，和你的儿子玩了别人能一样吗？等你有儿女了你就明白了。再说了在民族利益面前，双标算什么？美国为了自己的利益，不是每天都双标吗？而且美国照样世界第一。不双标有可能是没有能力双标而已，并不是因为道德感。4.有什么不敢承认的，人口本来就是资源，为什么要让给外国人，这些外国人拿着中国补贴，打着中国疫苗，玩着中国女人，嘴里说着我爱中国，转过头就在外网上曝光easy girl 并配上污秽不堪的文字羞辱中国人。外国人强奸中国女人的新闻有多少被压下去了？新闻爆出来的只是冰山一角。未完	[(42, '标'), (101, '标'), (122, '标'), (138, '标'), (148, '标'), (265, '强'), (266, '奸')]
toxic-rest-18	这话说的，凭什么就允许别人在网上说自己喜欢吃四，不允许别人在网上说讨厌吃四了？	这话说的，凭什么就允许别人在网上说自己喜欢吃屎，不允许别人在网上说讨厌吃屎了？	[(23, '屎'), (37, '屎')]
toxic-rest-19	而更多对同性恋抱有偏见的人他们偏见的方式是通过侮辱诅咒同性恋，通过散播自己本就不健全的三观，用各种伪科学或者哲学观点来证明同性恋的劣等和同性恋不该存在在世界上的扭曲便太思想，这种人还挺多的。如果有人告诉他他的这个想法是错的，他就会好像一个被爸爸妈妈惯坏的孩子，在受到社会的毒打后通过发狂和哭泣的方式伤害对他造成心理“伤害”的来源。但你不一样，你对txl除了不伤害，也给自己推倒之前偏见的机会，这还挺好的，这点连很多同性恋自己都做不到。	而更多对同性恋抱有偏见的人他们偏见的方式是通过侮辱诅咒同性恋，通过散播自己本就不健全的三观，用各种伪科学或者哲学观点来证明同性恋的劣等和同性恋不该存在在世界上的扭曲变态思想，这种人还挺多的。如果有人告诉他他的这个想法是错的，他就会好像一个被爸爸妈妈惯坏的孩子，在受到社会的毒打后通过发狂和哭泣的方式伤害对他造成心理“伤害”的来源。但你不一样，你对txl除了不伤害，也给自己推倒之前偏见的机会，这还挺好的，这点连很多同性恋自己都做不到。	[(83, '变'), (84, '态')]
toxic-rest-20	道德绑架够溜 你没有反对我们不喜欢同性恋的权利 正如你没有反对地球是圆的权利 这些必须就这样 不然你就是霜表	道德绑架够溜 你没有反对我们不喜欢同性恋的权利 正如你没有反对地球是圆的权利 这些必须就这样 不然你就是双标	[(53, '双'), (54, '标')]
toxic-rest-21	天勾的自我修养，女全越是猖獗他们越觉得应该抓紧舔，自己卷自己了属于是	舔狗的自我修养，女拳越是猖獗他们越觉得应该抓紧舔，自己卷自己了属于是	[(1, '舔'), (2, '狗'), (10, '拳')]
toxic-rest-22	反绿券是因为：他们并非善类，绞尽脑汁把广大女性作为工具，来发泄他们对夫权和父权的仇恨。（对女性也没有善意，一旦女性有不同观点不同价值观，也同样会被他们攻击辱骂）	反女拳是因为：他们并非善类，绞尽脑汁把广大女性作为工具，来发泄他们对夫权和父权的仇恨。（对女性也没有善意，一旦女性有不同观点不同价值观，也同样会被他们攻击辱骂）	[(2, '女'), (3, '拳')]
toxic-rest-23	能把这小里个掐死吗	能把这小倪格掐死吗	[(5, '倪'), (6, '格')]
toxic-rest-24	同性恋总是爱跟异性恋比较，认为自己做的错事别人也会做所以把自己做的错事合理化，只会不断错下去乱下去。连让艾染病后也觉得跟异性恋差不多。同性恋不会正视自己跟异性恋生活上的不同之处，只会看异性恋的缺点不会看异性恋的优点	同性恋总是爱跟异性恋比较，认为自己做的错事别人也会做所以把自己做的错事合理化，只会不断错下去乱下去。连染艾染病后也觉得跟异性恋差不多。同性恋不会正视自己跟异性恋生活上的不同之处，只会看异性恋的缺点不会看异性恋的优点	[(52, '染')]
toxic-rest-25	吃着碗里的，看着锅里的，吃自己的那份还不够，还要到男人的饭碗里争食！据说，有一个女权主义者已经到相关部门去申请了?男人的饭碗的所有权?！不可思议~据说，那个部门叫：控制欲旺盛政客?理论羟间?他人知识库！	吃着碗里的，看着锅里的，吃自己的那份还不够，还要到男人的饭碗里争食！据说，有一个女权主义者已经到相关部门去申请了?男人的饭碗的所有权?！不可思议~据说，那个部门叫：控制欲旺盛政客?理论强奸?他人知识库！	[(93, '强'), (94, '奸')]
toxic-rest-26	关键她是维权😆以前都站消费者的南达人，突然觉得你一穷省找安啦上海银麻烦哦🙄	关键她是维权😆以前都站消费者的南大人，突然觉得你一穷省找安啦上海银麻烦哦🙄	[(17, '大')]
toxic-rest-27	人你不找，非得玩人与兽，不恶新吗	人你不找，非得玩人与兽，不恶心吗	[(15, '心')]
toxic-rest-28	从小投净該，攒钱卖羊肉串，来人问你这串保熟不？你拿着切糕的刀给他砍了。	从小偷井盖，攒钱卖羊肉串，来人问你这串保熟不？你拿着切糕的刀给他砍了。	[(3, '偷'), (4, '井'), (5, '盖')]
toxic-rest-29	房童的人寿命短可能因为做了同妻同夫自我了断但只是少数人会这样	反同的人寿命短可能因为做了同妻同夫自我了断但只是少数人会这样	[(1, '反'), (2, '同')]
toxic-rest-30	人和人当然平等，人和新型平等？	人和人当然平等，人和猩猩平等？	[(11, '猩'), (12, '猩')]
toxic-rest-31	没见过集闹工程师	没见过基佬工程师	[(4, '基'), (5, '佬')]
toxic-rest-32	普通女性占女性总人口的比例还是太少了，女全、媚外的的占了绝大多数🤣	普通女性占女性总人口的比例还是太少了，女拳、媚外的的占了绝大多数🤣	[(21, '拳')]
toxic-rest-33	而你晚上是被关购笼里所以无法发言对吧？毕竟是个吃软饭的能有个购笼住就不错了，不然你在每个凌晨的整点时间段回我一句呀	而你晚上是被关狗笼里所以无法发言对吧？毕竟是个吃软饭的能有个狗笼住就不错了，不然你在每个凌晨的整点时间段回我一句呀	[(8, '狗'), (31, '狗')]
toxic-rest-34	那些嫁给抹的国女能自愿放弃中国国籍，绝对值得立牌坊。	那些嫁给默的国女能自愿放弃中国国籍，绝对值得立牌坊。	[(5, '默')]
toxic-rest-35	我怀疑你在侮辱要借，即使要借接了还挣钱的呢，她们白给甚至倒贴🤔	我怀疑你在侮辱窑姐，即使窑姐接了还挣钱的呢，她们白给甚至倒贴🤔	[(8, '窑'), (9, '姐'), (13, '窑'), (14, '姐')]
toxic-rest-36	有一说一 人类进化就是靠砸中推进的 你圈起来养的那些个观赏动物才在意纯种 血统论的目的主要是为了给种族歧视创造合法性 虽然我是皇汉 但是不建议整这种活嗷	有一说一 人类进化就是靠杂种推进的 你圈起来养的那些个观赏动物才在意纯种 血统论的目的主要是为了给种族歧视创造合法性 虽然我是皇汉 但是不建议整这种活嗷	[(13, '杂'), (14, '种')]
toxic-rest-37	我说的是，笑先女她求分享，楼主不理她，她就开贴引战，还带了天够来。	我说的是，小藓女她求分享，楼主不理她，她就开贴引战，还带了舔狗来。	[(6, '小'), (7, '藓'), (30, '舔'), (31, '狗')]
toxic-rest-38	但是我们要“理解”级老，因为它们在现实生活中活得太憋屈了，它们之所以把别人先禁言了又去麻人，就很好的证明了这一点，它们需要发泄，但是又害怕看到那些回击它们的内容，所以只能如此	但是我们要“理解”基佬，因为它们在现实生活中活得太憋屈了，它们之所以把别人先禁言了又去麻人，就很好的证明了这一点，它们需要发泄，但是又害怕看到那些回击它们的内容，所以只能如此	[(10, '基'), (11, '佬')]
toxic-rest-39	后面改成魔也算人😅	后面改成默也算人😅	[(5, '默')]
toxic-rest-40	看来当同寻怒是他唯一的精神支柱了，怪不得如此顽抗。	看来当通讯录是他唯一的精神支柱了，怪不得如此顽抗。	[(4, '通'), (5, '讯'), (6, '录')]
toxic-rest-41	同性恋运动者将反对者统一称之为“控铜者”，然后又抛出“控铜都是深柜”的论调，试图对反对者进行阻吓。这其实是一种人身攻击的手段，因为同性恋运动的反对者，实在没有必要害怕同性恋者或者同性性偏好，有可能只是出于心理本能厌恶不正常的异类，称之为“厌同者”更为合适。将反对者塑造成“控铜者”，想要无中生有的强调其愚村、歇斯底里的特点，这不就是霸凌者嘲笑南酮性恋者娘娘腔或者心理便太的翻版吗？不同的是，同性恋者已经通过发明新词的方式，将这种歧视制度化了。同性恋者总是强调受到霸凌，但其自己何尝不是有组织的、公开的霸凌反对者？而污蔑别人是同性恋者，着实有点像小孩子抓了一把时硬要涂在对方身上。	同性恋运动者将反对者统一称之为“恐同者”，然后又抛出“恐同都是深柜”的论调，试图对反对者进行阻吓。这其实是一种人身攻击的手段，因为同性恋运动的反对者，实在没有必要害怕同性恋者或者同性性偏好，有可能只是出于心理本能厌恶不正常的异类，称之为“厌同者”更为合适。将反对者塑造成“恐同者”，想要无中生有的强调其愚蠢、歇斯底里的特点，这不就是霸凌者嘲笑男同性恋者娘娘腔或者心理变态的翻版吗？不同的是，同性恋者已经通过发明新词的方式，将这种歧视制度化了。同性恋者总是强调受到霸凌，但其自己何尝不是有组织的、公开的霸凌反对者？而污蔑别人是同性恋者，着实有点像小孩子抓了一把屎硬要涂在对方身上。	[(17, '恐'), (18, '同'), (28, '恐'), (29, '同'), (137, '恐'), (138, '同'), (153, '蠢'), (172, '男'), (173, '同'), (184, '变'), (185, '态'), (280, '屎')]
toxic-rest-42	这种男人也是极少数，像我这种只是单纯的脯新罢了🐶	这种男人也是极少数，像我这种只是单纯的普信罢了🐶	[(20, '普'), (21, '信')]
toxic-rest-43	选择器喽，那些找礼各的女人的智商水平，社会责任感和价值观显然不配和正常的国人哺育正常的后代😄可惜就是有人爱接盘😄	选择器喽，那些找泥搁的女人的智商水平，社会责任感和价值观显然不配和正常的国人哺育正常的后代😄可惜就是有人爱接盘😄	[(9, '泥'), (10, '搁')]
toxic-rest-44	但为什么在别的地方那个目人可以讲出来这些话？	但为什么在别的地方那个幕刃可以讲出来这些话？	[(12, '幕'), (13, '刃')]
toxic-rest-45	首先赞楼主，其次难通胞不接受这种女人我感觉不能说保守，任何国家的男人都不会接受别国男人在自己国家乱搞女人的！ 某些人混淆视听，说外国人更开放不在乎这些，那他去欧美乱搞一下试试就知道了	首先赞楼主，其次男同胞不接受这种女人我感觉不能说保守，任何国家的男人都不会接受别国男人在自己国家乱搞女人的！ 某些人混淆视听，说外国人更开放不在乎这些，那他去欧美乱搞一下试试就知道了	[(9, '男'), (10, '同')]
toxic-rest-46	我特烦一张嘴就这事不关你事的人，管天管地管的着别人怎么看？照你的理论，匹判这些人也不关你事啊？你废什么话？	我特烦一张嘴就这事不关你事的人，管天管地管的着别人怎么看？照你的理论，批判这些人也不关你事啊？你废什么话？	[(36, '批')]
toxic-rest-47	值得啤判！我不明白为什么人种没有生殖隔离呢？爱美之心人皆有之！一白遮百丑！美白，美白，美听说过美黑的。没见过黑人去选美的。	值得批判！我不明白为什么人种没有生殖隔离呢？爱美之心人皆有之！一白遮百丑！美白，美白，美听说过美黑的。没见过黑人去选美的。	[(3, '批')]
toxic-rest-48	在吾看来，非洲人要也好过非洲男人至少非洲人要不会随意侵犯女性	在吾看来，非洲人妖也好过非洲男人至少非洲人妖不会随意侵犯女性	[(9, '妖'), (22, '妖')]
toxic-rest-49	及汤的作者和读者都是女人，不向着女人她们没销量	鸡汤的作者和读者都是女人，不向着女人她们没销量	[(1, '鸡')]
toxic-rest-50	看了好多也不敢加，合肥南通事件当事人都没啥事	看了好多也不敢加，合肥男童事件当事人都没啥事	[(12, '男'), (13, '童')]
toxic-rest-51	拿着一张p的图在这里意淫，桶寻怒是不是都有臆想症。	拿着一张p的图在这里意淫，通讯录是不是都有臆想症。	[(14, '通'), (15, '讯'), (16, '录')]
toxic-rest-52	我算是看明白了这吧的脱尿，先抛出一个没头没尾的论证，等别人怼他的们时候，然后再打马后炮。这招真是屡试不爽啊！	我算是看明白了这吧的鸵鸟，先抛出一个没头没尾的论证，等别人怼他的们时候，然后再打马后炮。这招真是屡试不爽啊！	[(11, '鸵'), (12, '鸟')]
toxic-rest-53	黑人的天勾其实比黑人更可恨	黑人的舔狗其实比黑人更可恨	[(4, '舔'), (5, '狗')]
toxic-rest-54	你个能不能死?	倪哥能不能死?	[(1, '倪'), (2, '哥')]
toxic-rest-55	母沟是这样的	母狗是这样的	[(2, '狗')]
toxic-rest-56	大皮直男被邪恶的及劳勾引失足建议立即将他们绞杀！	大批直男被邪恶的基佬勾引失足建议立即将他们绞杀！	[(2, '批'), (9, '基'), (10, '佬')]
toxic-rest-57	值老的瓜真是太香了哦，吃不完了	直佬的瓜真是太香了哦，吃不完了	[(1, '直'), (2, '佬')]
toxic-rest-58	哈哈哈，小先率的事要你们管	哈哈哈，小仙女的事要你们管	[(6, '仙'), (7, '女')]
toxic-rest-59	是被阿拉夺舍了吗我寻思着就阿拉这个水平应该也学不会盗号啊	是被阿娜夺舍了吗我寻思着就阿娜这个水平应该也学不会盗号啊	[(4, '娜'), (15, '娜')]
toxic-rest-60	我已经累了，也懒得讲道理了，爱咋咋地吧，ez和模关我什么事啊，总有一天中国要整出个右翼分子	我已经累了，也懒得讲道理了，爱咋咋地吧，ez和默关我什么事啊，总有一天中国要整出个右翼分子	[(24, '默')]
toxic-rest-61	去黑飞走就行，那里有酋长	去黑非洲就行，那里有酋长	[(3, '非'), (4, '洲')]
toxic-rest-62	MB关键是有的gay他还嫂扰你，她吗的刚刚差点让一个gay亲了，再有下次老子打掉他满嘴牙，我这不是恶新，是唾弃	MB关键是有的gay他还骚扰你，他妈的刚刚差点让一个gay亲了，再有下次老子打掉他满嘴牙，我这不是恶心，是唾弃	[(13, '骚'), (17, '他'), (18, '妈'), (51, '心')]
toxic-rest-63	简单地说，“我”网络上可以重拳出击，一喷喷一片，现实里面友好相处，尊重女性，如果发现身边有谁酶嗨，那不好意思，一票否决	简单地说，“我”网络上可以重拳出击，一喷喷一片，现实里面友好相处，尊重女性，如果发现身边有谁媚黑，那不好意思，一票否决	[(47, '媚'), (48, '黑')]
toxic-rest-64	看了那么多回答，没看到因为说害怕艾滋，搞不懂，男人娶嗨女白女好像他们就没啥意见了，女人搞费各白男，他们反应好大，看不懂	看了那么多回答，没看到因为说害怕艾滋，搞不懂，男人娶黑女白女好像他们就没啥意见了，女人搞黑哥白男，他们反应好大，看不懂	[(27, '黑'), (45, '黑'), (46, '哥')]
toxic-rest-65	害怕？哈哈哈，你真以为大家是害怕？害怕娶不到媳妇儿？哎呀妈呀，合着你觉得男人匹判女人找黑人是害怕找不着媳妇儿？	害怕？哈哈哈，你真以为大家是害怕？害怕娶不到媳妇儿？哎呀妈呀，合着你觉得男人批判女人找黑人是害怕找不着媳妇儿？	[(39, '批')]
toxic-rest-66	为啥总有虾爬子一样的二及馆？正常化就正常化呗，非要跳出来表示同性恋就是高贵就是先进就是现代化吗？扯犊子	为啥总有虾爬子一样的二极管？正常化就正常化呗，非要跳出来表示同性恋就是高贵就是先进就是现代化吗？扯犊子	[(12, '极'), (13, '管')]
toxic-rest-67	没心气管了，上次外过人永居我尽力了	没心气管了，上次歪果人永居我尽力了	[(9, '歪'), (10, '果')]
toxic-rest-68	尼日利亚的名菜“乔洛夫”，油焖香米饭加上及腿和油炸香蕉。这道菜的米饭和手抓饭类似，都要加入洋葱和胡萝卜，也可用手抓着吃，微辣。	尼日利亚的名菜“乔洛夫”，油焖香米饭加上鸡腿和油炸香蕉。这道菜的米饭和手抓饭类似，都要加入洋葱和胡萝卜，也可用手抓着吃，微辣。	[(21, '鸡')]
toxic-rest-69	这就是个大筛子，筛掉那些沙指	这就是个大筛子，筛掉那些傻子	[(13, '傻'), (14, '子')]
toxic-rest-70	为什么必须反率犬	为什么必须反女拳	[(7, '女'), (8, '拳')]
toxic-rest-71	猿形毕露了兄弟们，大家理解一下，这只沟沟的YD长在了性性身上，大家要有怜悯之心，毕竟会说话的动物很难得的，大家每天拿它娱乐娱乐多好	猿形毕露了兄弟们，大家理解一下，这只狗狗的YD长在了猩猩身上，大家要有怜悯之心，毕竟会说话的动物很难得的，大家每天拿它娱乐娱乐多好	[(19, '狗'), (20, '狗'), (27, '猩'), (28, '猩')]
toxic-rest-72	汉弗莱:...甚至不能以帮至大四😜	汉弗莱:...甚至不能一棒子打死😜	[(12, '一'), (13, '棒'), (14, '子'), (15, '打'), (16, '死')]
toxic-rest-73	一个蓝火，有老公，有小孩，喝酒抽烟出轨，乱搞男女关系。开了私密模式，关了私信功能，私信不了，只能在视频评论区艾特她骂。	一个烂货，有老公，有小孩，喝酒抽烟出轨，乱搞男女关系。开了私密模式，关了私信功能，私信不了，只能在视频评论区艾特她骂。	[(3, '烂'), (4, '货')]
toxic-rest-74	知乎里的中国女人是不可以有优点的，真的是硬生生按着普通女人的头，让她们承认，反驳这个称号的说明知道羞耻心，不明白为什么一些男人一定要这样对自己同胞，要他们不要内讧，他们说这是洋人给的，一起认同洋拉及，可笑，自己喜欢外国女人就是为国争光，女人就是比男人多了贞洁感，在男人眼里睡女人还是被女人睡永远是赚了，挨骂的永远是女人	知乎里的中国女人是不可以有优点的，真的是硬生生按着普通女人的头，让她们承认，反驳这个称号的说明知道羞耻心，不明白为什么一些男人一定要这样对自己同胞，要他们不要内讧，他们说这是洋人给的，一起认同洋垃圾，可笑，自己喜欢外国女人就是为国争光，女人就是比男人多了贞洁感，在男人眼里睡女人还是被女人睡永远是赚了，挨骂的永远是女人	[(98, '垃'), (99, '圾')]
toxic-rest-75	如果我没记错的话这个楼足可是大名鼎鼎跪虫圣父标到今天发了一个冲内及其它们后代从浑增长录事实没有任何问题但是经过著名大名鼎鼎跪虫圣父标发出来就有点居心叵测毕竟古人言：事出反常必有妖！	如果我没记错的话这个楼猪可是大名鼎鼎跪虫圣父标到今天发了一个虫类及其它们后代虫混增长录事实没有任何问题但是经过著名大名鼎鼎跪虫圣父标发出来就有点居心叵测毕竟古人言：事出反常必有妖！	[(12, '猪'), (31, '虫'), (32, '类'), (39, '虫'), (40, '混')]
toxic-rest-76	对的它们国际轨自冲内及其它们后代充婚在全球就是老速耗子过街人人喊打	对的它们国际鬼子虫类及其它们后代虫混在全球就是老鼠耗子过街人人喊打	[(7, '鬼'), (8, '子'), (9, '虫'), (10, '类'), (17, '虫'), (18, '混'), (25, '鼠')]
toxic-rest-77	求个中外哲学家评论姆仍的图	求个中外哲学家评论幕刃的图	[(10, '幕'), (11, '刃')]
toxic-rest-78	我讨厌双表魅黑人，觉得男人娶黑人就光宗耀祖的那种	我讨厌双标魅黑人，觉得男人娶黑人就光宗耀祖的那种	[(5, '标')]
toxic-rest-79	根据我多年的实践，一般男凡痛有三种情况。第一，他身边的亲近之人是，这种现实让他无法接受，进而内心受创。第二，他自己因此尔受到过伤害，比如曾经被霸王硬上弓，或者曾经感情受创被打击过，再或者因此发生过不愉快的事。第三，我不知道怎么说才能过审，所以不说了。如果是第一种，大概率是患者的父亲或者兄弟再或者幼时比较亲近的男性。我之前在他的评论区试探过，说到患者父亲的时候，并没有什么奇怪的反应。但是我说到患者自身的时候，总是刻意忽视，不做回应。根据这种逃避现象，我初步诊断，是他自身的问题。所以我才这么说。（虽然我说的是另一个人，不知道是不是同一个人的小号。但是如果觉得有用，可以复制拿去发帖）	根据我多年的实践，一般男反同有三种情况。第一，他身边的亲近之人是，这种现实让他无法接受，进而内心受创。第二，他自己因此尔受到过伤害，比如曾经被霸王硬上弓，或者曾经感情受创被打击过，再或者因此发生过不愉快的事。第三，我不知道怎么说才能过审，所以不说了。如果是第一种，大概率是患者的父亲或者兄弟再或者幼时比较亲近的男性。我之前在他的评论区试探过，说到患者父亲的时候，并没有什么奇怪的反应。但是我说到患者自身的时候，总是刻意忽视，不做回应。根据这种逃避现象，我初步诊断，是他自身的问题。所以我才这么说。（虽然我说的是另一个人，不知道是不是同一个人的小号。但是如果觉得有用，可以复制拿去发帖）	[(13, '反'), (14, '同')]
toxic-rest-80	当然如果是爱出去乱约的，无论男女都非常的恶新	当然如果是爱出去乱约的，无论男女都非常的恶心	[(22, '心')]
toxic-rest-81	这么好的肤色竟然在美国做其该。来中国山东大学不得飞黄腾达	这么好的肤色竟然在美国做乞丐。来中国山东大学不得飞黄腾达	[(13, '乞'), (14, '丐')]
