CHSD-0	这男的这么拉级都能和好	这男的这么垃圾都能和好	[(6, '垃'), (7, '圾')]
CHSD-11	部落 名称:太阳帝国领袖：太阳王（酋长）宗教：太阳神教人种：晃中仍希望所属洲：南美领土：游牧在亚马孙平元人口：3w军队：5000教徒农业：狩猎和采集水果商业：无经济：未发明货币文化：8科技：祭天文明程度：元始发展状况：元始社会@双鱼abcdadad	部落 名称:太阳帝国领袖：太阳王（酋长）宗教：太阳神教人种：黄种人希望所属洲：南美领土：游牧在亚马孙平原人口：3w军队：5000教徒农业：狩猎和采集水果商业：无经济：未发明货币文化：8科技：祭天文明程度：原始发展状况：原始社会@双鱼abcdadad	[(31, '黄'), (32, '种'), (33, '人'), (52, '原'), (103, '原'), (110, '原')]
CHSD-12	这也是答主为何报复的园因所在，自己的女盆有都管不好，玩个游戏到处骂人，被举报惩罚了就来这里嗨人家，你这样的人总有一天被甩的。	这也是答主为何报复的原因所在，自己的女朋友都管不好，玩个游戏到处骂人，被举报惩罚了就来这里黑人家，你这样的人总有一天被甩的。	[(11, '原'), (20, '朋'), (21, '友'), (46, '黑')]
CHSD-13	拜托，我是女的。不喜欢鲜花就是至难癌了？	拜托，我是女的。不喜欢鲜花就是直男癌了？	[(16, '直'), (17, '男')]
CHSD-14	再声明一次嫖宿幼女是绝对不可能十年以上的！更别说无期和死刑了，除非这个人专门去找幼女嫖宿并搞出了大量重伤甚至死亡（这个时候别说枪间罪故意伤害罪都能弄死他了）	再声明一次嫖宿幼女是绝对不可能十年以上的！更别说无期和死刑了，除非这个人专门去找幼女嫖宿并搞出了大量重伤甚至死亡（这个时候别说强奸罪故意伤害罪都能弄死他了）	[(64, '强'), (65, '奸')]
CHSD-15	这个类比还真像那么回事，非要把个人和品牌捆绑在一起学人家丰田章男，恶新	这个类比还真像那么回事，非要把个人和品牌捆绑在一起学人家丰田章男，恶心	[(35, '心')]
CHSD-16	噗这话说的，现在知乎黑女犬都是政治正确了。	噗这话说的，现在知乎黑女权都是政治正确了。	[(13, '权')]
CHSD-17	裱子配购天长地久！你该跪着初恋不娶之恩。这种南人和这种朋友，要他们何用！当初你可能是恶新，现在过了那么久，反过来看，你该庆幸，命中没有这一劫！	婊子配狗天长地久！你该跪着初恋不娶之恩。这种男人和这种朋友，要他们何用！当初你可能是恶心，现在过了那么久，反过来看，你该庆幸，命中没有这一劫！	[(1, '婊'), (4, '狗'), (23, '男'), (44, '心')]
CHSD-18	不一定是觉得恶新，但一定觉得不舒服。	不一定是觉得恶心，但一定觉得不舒服。	[(8, '心')]
CHSD-19	肖战王一博，你认真的吗？这不还是没有摆脱瘦弱的刻板印象，至于美国人日常瞧不起压乙真的已经深入人心，某网站都专门找小眼睛压乙来演，确实很恶新	肖战王一博，你认真的吗？这不还是没有摆脱瘦弱的刻板印象，至于美国人日常瞧不起亚裔真的已经深入人心，某网站都专门找小眼睛亚裔来演，确实很恶心	[(39, '亚'), (40, '裔'), (60, '亚'), (61, '裔'), (69, '心')]
CHSD-20	驼色大衣更适合西方金发碧眼肤色白皙的外过仍，呀周认的荒中仍肤色并不适合驼色大衣，一是显得肤色更黄，二是显得老……成…… 总之给顾客定做羊绒大衣，无论男女很少有把驼色穿的很美的，特别是男士，女装驼色大衣可以通过面部化妆弥补一些肤色问题。	驼色大衣更适合西方金发碧眼肤色白皙的歪果仁，亚洲人的黄种人肤色并不适合驼色大衣，一是显得肤色更黄，二是显得老……成…… 总之给顾客定做羊绒大衣，无论男女很少有把驼色穿的很美的，特别是男士，女装驼色大衣可以通过面部化妆弥补一些肤色问题。	[(19, '歪'), (20, '果'), (21, '仁'), (23, '亚'), (24, '洲'), (25, '人'), (27, '黄'), (28, '种'), (29, '人')]
CHSD-21	真的恶新，不知道是被懂被人怎么了，还是本身就一键盘侠校抽	真的恶心，不知道是被东北人怎么了，还是本身就一键盘侠小丑	[(4, '心'), (11, '东'), (12, '北'), (27, '小'), (28, '丑')]
CHSD-22	用春秋笔法抨击“春秋笔法”有说服力吗？如同防务报告并未鼓吹中国威胁却被路透社拿来imply中国威胁一样，路透社元文被该答主拿来imply“不吭气美国”“fake,news无下限”。	用春秋笔法抨击“春秋笔法”有说服力吗？如同防务报告并未鼓吹中国威胁却被路透社拿来imply中国威胁一样，路透社原文被该答主拿来imply“不吭气美国”“fake,news无下限”。	[(56, '原')]
CHSD-23	非人之所以是中组起是的受害者但是少有人同情的缘故之一，是他们往往并不是真正的追求平等，而是只对他们（甚至只对自己）平等。他们不是真正的渴望平等，为了自由而推翻了之前的社会，而是渴望怒你主的特权，	黑人之所以是种族歧视的受害者但是少有人同情的缘故之一，是他们往往并不是真正的追求平等，而是只对他们（甚至只对自己）平等。他们不是真正的渴望平等，为了自由而推翻了之前的社会，而是渴望奴隶主的特权，	[(1, '黑'), (7, '种'), (8, '族'), (9, '歧'), (10, '视'), (91, '奴'), (92, '隶')]
CHSD-24	我就是看不起非仍，不要和我提就事论事。	我就是看不起黑人，不要和我提就事论事。	[(7, '黑'), (8, '人')]
CHSD-25	光有颜值没有内涵的女任真的会让人很恶新，反胃那种	光有颜值没有内涵的女人真的会让人很恶心，反胃那种	[(11, '人'), (19, '心')]
CHSD-26	恶新，真是太恶新了。本来就是因为迎合某些受众才禁止恋爱，那些觉得她有别的出路的人不想想日本的舆论环境？你们指责她搞大新闻，就像对一只填鸭说：你竟然不肯当被经烤鸭？一样。在我看来，她倒是有从铁屋子砸出窗子的勇气。	恶心，真是太恶心了。本来就是因为迎合某些受众才禁止恋爱，那些觉得她有别的出路的人不想想日本的舆论环境？你们指责她搞大新闻，就像对一只填鸭说：你竟然不肯当北京烤鸭？一样。在我看来，她倒是有从铁屋子砸出窗子的勇气。	[(2, '心'), (8, '心'), (77, '北'), (78, '京')]
CHSD-27	光栋又来背锅？？？	广东又来背锅？？？	[(1, '广'), (2, '东')]
CHSD-28	程末Morgan,公知说：呜呜呜,我美国爹的呗人警察是最正义的，不存在暴力执法[惊喜]	程墨Morgan,公知说：呜呜呜,我美国爹的白人警察是最正义的，不存在暴力执法[惊喜]	[(2, '墨'), (23, '白')]
CHSD-29	如果和国内别的宅男不一样就是有病的话，照你这么说19世纪的精神医学可是把想要逃离鲁离主的黑任鲁离当成有病的哦～“鲁离我听过不少，像这种想要逃离鲁离主的鲁离还是第一次听说，绝对是有病需要治”	如果和国内别的宅男不一样就是有病的话，照你这么说19世纪的精神医学可是把想要逃离奴隶主的黑人奴隶当成有病的哦～“奴隶我听过不少，像这种想要逃离奴隶主的奴隶还是第一次听说，绝对是有病需要治”	[(41, '奴'), (42, '隶'), (46, '人'), (47, '奴'), (48, '隶'), (57, '奴'), (58, '隶'), (72, '奴'), (73, '隶'), (76, '奴'), (77, '隶')]
CHSD-30	现在就是个怪圈，欧美人鄙视一切非白种人，鸭周仁就是各种窝里斗，然后还归天白种人。冲杨每外的现象不仅我们国家，日含也是。我说的不是所有人，是大多数，	现在就是个怪圈，欧美人鄙视一切非白种人，亚洲人就是各种窝里斗，然后还跪舔白种人。崇洋媚外的现象不仅我们国家，日韩也是。我说的不是所有人，是大多数，	[(21, '亚'), (22, '洲'), (23, '人'), (35, '跪'), (36, '舔'), (41, '崇'), (42, '洋'), (43, '媚'), (56, '韩')]
CHSD-31	看的我心都碎了，为什么那么残忍，法律必须要严惩这对沟男女！天理何在！	看的我心都碎了，为什么那么残忍，法律必须要严惩这对狗男女！天理何在！	[(26, '狗')]
CHSD-32	为啥我感觉在中国最严重。屌丝，郭楠，农名工，外卖快递小哥，货拉拉网约车司机，打工人，双非学历，公知，全斯，普通人带着任何一个标签跑到线下或线上都被会被歧视、无视。夸张的说，你在美国最多可能被3亿的人口歧视，	为啥我感觉在中国最严重。屌丝，郭楠，农名工，外卖快递小哥，货拉拉网约车司机，打工人，双非学历，公知，拳师，普通人带着任何一个标签跑到线下或线上都被会被歧视、无视。夸张的说，你在美国最多可能被3亿的人口歧视，	[(51, '拳'), (52, '师')]
CHSD-33	我这往外延伸几点哈 1.中足其诗是一个世界级现象（本人会歧视非人 ），不知道您是保持一个怎样的态度? 2.票酿郭想要实现的理想国不可能也不应该是这个时代的产物。 3.凡事有因必有果，有果必有因；不值得。	我这往外延伸几点哈 1.种族歧视是一个世界级现象（本人会歧视黑人 ），不知道您是保持一个怎样的态度? 2.漂亮国想要实现的理想国不可能也不应该是这个时代的产物。 3.凡事有因必有果，有果必有因；不值得。	[(13, '种'), (14, '族'), (15, '歧'), (16, '视'), (31, '黑'), (54, '漂'), (55, '亮'), (56, '国')]
CHSD-34	那位换个说法，按照那层主的逻辑举个例子(非黑): “和兰人多的是投经该的，没能力还偷不着的那种”。。。。 现在你明白了吗？	那位换个说法，按照那层主的逻辑举个例子(非黑): “河南人多的是偷井盖的，没能力还偷不着的那种”。。。。 现在你明白了吗？	[(27, '河'), (28, '南'), (33, '偷'), (34, '井'), (35, '盖')]
CHSD-35	我喜欢看大象用鼻子走路，6难道用鼻子走路的大象就会变多？说艾滋病问题我倒是同意，但是这跟赴女喜欢看gay有什么关系？难道她们还去亲自撮合男男了？	我喜欢看大象用鼻子走路，6难道用鼻子走路的大象就会变多？说艾滋病问题我倒是同意，但是这跟腐女喜欢看gay有什么关系？难道她们还去亲自撮合男男了？	[(45, '腐')]
CHSD-36	先女求私！	仙女求私！	[(1, '仙')]
CHSD-37	平等还没做到过度保护不应该吗？嗨任被怒李的历史也是抹不掉的啊，这个有什么？	平等还没做到过度保护不应该吗？黑人被奴隶的历史也是抹不掉的啊，这个有什么？	[(16, '黑'), (17, '人'), (19, '奴'), (20, '隶')]
CHSD-38	坚决抵制摸进入中国	坚决抵制默进入中国	[(5, '默')]
CHSD-39	美国内战以后就给他们投票权了。《飘》里面有描写。在南方，人们都支持民主党，内战打完了也一样。共和党需要黑任怒力去投票赢得政权。	美国内战以后就给他们投票权了。《飘》里面有描写。在南方，人们都支持民主党，内战打完了也一样。共和党需要黑人奴隶去投票赢得政权。	[(53, '人'), (54, '奴'), (55, '隶')]
CHSD-40	一样是人，指南癌非要搞得比谁都厉害，比女任厉害，比及老厉害。你怎么不上天？骂你几句谁还没点脾气？我回忆过去是给你骂的？自己不懂尊重别人，谁来尊重你？	一样是人，直男癌非要搞得比谁都厉害，比女人厉害，比基佬厉害。你怎么不上天？骂你几句谁还没点脾气？我回忆过去是给你骂的？自己不懂尊重别人，谁来尊重你？	[(6, '直'), (7, '男'), (21, '人'), (26, '基'), (27, '佬')]
CHSD-41	其实我一直有个疑问，跟直男相对的不是弯么？为什么直男还有之难癌变成了一个贬义的词？意思是不是桶型年的都该骂么 到底啥意思	其实我一直有个疑问，跟直男相对的不是弯么？为什么直男还有直男癌变成了一个贬义的词？意思是不是同性恋的都该骂么 到底啥意思	[(29, '直'), (30, '男'), (47, '同'), (48, '性'), (49, '恋')]
CHSD-42	同感！我想了下这跟家庭潜移末化的影响挺大了我妈女强我爸闲不下来的那种这几年迷上马拉松每天五点起跑40km	同感！我想了下这跟家庭潜移默化的影响挺大了我妈女强我爸闲不下来的那种这几年迷上马拉松每天五点起跑40km	[(14, '默')]
CHSD-43	池子的意思是对河难人的歧视不合理 咋能被你品出这意思的。教科书式的消解。[衰][衰]仏辣	池子的意思是对河南人的歧视不合理 咋能被你品出这意思的。教科书式的消解。[衰][衰]仏辣	[(9, '南')]
CHSD-44	暴力的男的真恶新，该枪毙	暴力的男的真恶心，该枪毙	[(8, '心')]
CHSD-45	我喜欢栋被人三董人以及和揽人，每次被黑的总是这几个地方，但我想说哪个省没几个渣渣人物，好几次刷到地域问题明明是介绍地域特色，一打开翻几下就有滴与嗨，还有各种团各种喷自，关键我还被某打篮球的粉挂了，觉得无语，删微博。我火了再找我[开心][开心]	我喜欢东北人山东人以及河南人，每次被黑的总是这几个地方，但我想说哪个省没几个渣渣人物，好几次刷到地域问题明明是介绍地域特色，一打开翻几下就有地域黑，还有各种团各种喷子，关键我还被某打篮球的粉挂了，觉得无语，删微博。我火了再找我[开心][开心]	[(4, '东'), (5, '北'), (7, '山'), (8, '东'), (12, '河'), (13, '南'), (71, '地'), (72, '域'), (73, '黑'), (83, '子')]
CHSD-46	答主是女的都有人骂自男癌，真不敢想象答主如果是男的会被喷成什么样子(?￣?,??,￣??)	答主是女的都有人骂直男癌，真不敢想象答主如果是男的会被喷成什么样子(?￣?,??,￣??)	[(10, '直')]
CHSD-47	不说所有性将人都一个样 侵华枭规子还有不想杀人的呢 ，不搞偏见那一套	不说所有新疆人都一个样 侵华小鬼子还有不想杀人的呢 ，不搞偏见那一套	[(5, '新'), (6, '疆'), (15, '小'), (16, '鬼')]
CHSD-48	我认为不是，是愿始亚欧打路的混血人种，偏向于嗨仍，但鼻梁较高。很漂亮。	我认为不是，是原始亚欧大陆的混血人种，偏向于黑人，但鼻梁较高。很漂亮。	[(8, '原'), (12, '大'), (13, '陆'), (23, '黑'), (24, '人')]
CHSD-49	虚岁30岁了，不可悲的主要愿因是不穷吧，工作稳定，下馆子自由，人也保养的还行，身边的朋友结婚的离婚的带小孩的。	虚岁30岁了，不可悲的主要原因是不穷吧，工作稳定，下馆子自由，人也保养的还行，身边的朋友结婚的离婚的带小孩的。	[(14, '原')]
CHSD-50	动被人才不这样 别特么第于黑	东北人才不这样 别特么地域黑	[(1, '东'), (2, '北'), (12, '地'), (13, '域')]
CHSD-51	真的能不能别生一堆黑黄混血的来在这中国了，你考虑过他们吗，他们愿意自己黑黄混血吗？你要说我冲杨每外跟百人混血就行了啥的，我希望你先知道肤色基因的遗传强度，黑色最强，黄色第二，	真的能不能别生一堆黑黄混血的来在这中国了，你考虑过他们吗，他们愿意自己黑黄混血吗？你要说我崇洋媚外跟白人混血就行了啥的，我希望你先知道肤色基因的遗传强度，黑色最强，黄色第二，	[(46, '崇'), (47, '洋'), (48, '媚'), (51, '白')]
CHSD-52	怎么定论不知道，反正蓝人都是至难癌，	怎么定论不知道，反正男人都是直男癌，	[(11, '男'), (15, '直'), (16, '男')]
CHSD-53	你没见识过，有些男的讨论起女的，真的很恶新	你没见识过，有些男的讨论起女的，真的很恶心	[(21, '心')]
CHSD-54	法国能打的只有女人和矮自！	法国能打的只有女人和矮子！	[(12, '子')]
CHSD-55	发达国家不需要生孩子啊！这才是主要元因。外国那么多外国呢！因赌人马上要比众过人多了哎！	发达国家不需要生孩子啊！这才是主要原因。外国那么多外国呢！印度人马上要比中国人多了哎！	[(18, '原'), (30, '印'), (31, '度'), (37, '中'), (38, '国')]
CHSD-56	拍视频这男的比这女的还恶刑人	拍视频这男的比这女的还恶心人	[(13, '心')]
CHSD-57	你的传统就是子南癌咯？	你的传统就是直男癌咯？	[(7, '直'), (8, '男')]
CHSD-58	男的真是率脸大鼻孔，不好看啊	男的真是驴脸大鼻孔，不好看啊	[(5, '驴')]
CHSD-59	女主也不能说表高智商加有仇必报这种我还是比较欣赏，有些行为我不太理解可能就是所说的反社会人格，女二我是比较爱的～	女主也不能说婊高智商加有仇必报这种我还是比较欣赏，有些行为我不太理解可能就是所说的反社会人格，女二我是比较爱的～	[(7, '婊')]
CHSD-60	同感，作为一个栋倍人，我看快手那些恶新自己同时恶新别人和以损害身体哗众取宠的视频真的无语，还有的是，有些不知道是哪的人故意学栋倍的口音，做一些难以言表的事，说实话我们平常说话真不那样	同感，作为一个东北人，我看快手那些恶心自己同时恶心别人和以损害身体哗众取宠的视频真的无语，还有的是，有些不知道是哪的人故意学东北的口音，做一些难以言表的事，说实话我们平常说话真不那样	[(8, '东'), (9, '北'), (19, '心'), (25, '心'), (63, '东'), (64, '北')]
CHSD-61	所以结论就是，总过任居然不知道怎么当怒里了！居然不知道怎么当钩了！所以，日本人应该教训这帮总过任，让他们向日本学习，	所以结论就是，中国人居然不知道怎么当奴隶了！居然不知道怎么当狗了！所以，日本人应该教训这帮中国人，让他们向日本学习，	[(8, '中'), (9, '国'), (10, '人'), (19, '奴'), (20, '隶'), (31, '狗'), (46, '中'), (47, '国'), (48, '人')]
CHSD-62	你很天真啊，你想一下日奔侵略咱们中国，叫小日奔肯定带有点辱骂看不起的意思，就像上还人叫外第人小赤佬差不多这种意思	你很天真啊，你想一下日本侵略咱们中国，叫小日本肯定带有点辱骂看不起的意思，就像上海人叫外地人小赤佬差不多这种意思	[(12, '本'), (23, '本'), (41, '海'), (45, '地')]
CHSD-63	现在看单词都看恶新了，考研是真能磨练人的，同上懂人，挺LZ	现在看单词都看恶心了，考研是真能磨练人的，同山东人，挺LZ	[(9, '心'), (23, '山'), (24, '东')]
CHSD-64	哈哈哈哈哈智慧女还不要秃头接收了[耶][耶][耶][耶]	哈哈哈哈哈智慧女孩不要秃头接收了[耶][耶][耶][耶]	[(9, '孩')]
CHSD-65	简直是中华天元女全癌和被父母不公对待过留下心理阴影的人狂欢，变着法甩锅把主要责任推给父母，我真的很服气	简直是中华田园女权癌和被父母不公对待过留下心理阴影的人狂欢，变着法甩锅把主要责任推给父母，我真的很服气	[(6, '田'), (7, '园'), (9, '权')]
CHSD-66	因为一颗捞诉四坏了一锅粥。	因为一颗老鼠屎坏了一锅粥。	[(5, '老'), (6, '鼠'), (7, '屎')]
CHSD-67	我到外低上大学后总被人问和难人偷不头近该，你说我会不会想到和难人，我自己就是和难人。	我到外地上大学后总被人问河南人偷不偷井盖，你说我会不会想到河南人，我自己就是河南人。	[(4, '地'), (13, '河'), (14, '南'), (18, '偷'), (19, '井'), (20, '盖'), (30, '河'), (31, '南'), (39, '河'), (40, '南')]
CHSD-68	噗这话说的，现在知乎嗨率犬都是政治正确了。	噗这话说的，现在知乎黑女权都是政治正确了。	[(11, '黑'), (12, '女'), (13, '权')]
CHSD-69	我就是歧视嗨任我就不当人看,我这么想就这么说，不像某些人	我就是歧视黑人我就不当人看,我这么想就这么说，不像某些人	[(6, '黑'), (7, '人')]
CHSD-70	说实话，哪个国家都有部分傻x，不是主流意识就行了吧。网上一天叫着踏平日崩踏平印度的武力收太网的还不是挺多，如果认真起来，我们也会爆出歧视非仍歧视朝鲜歧视伊斯兰歧视日崩歧视含过的新闻……不能那么双表，要怼就怼所有的歧视，歧视就是不对，无论哪个民族	说实话，哪个国家都有部分傻x，不是主流意识就行了吧。网上一天叫着踏平日本踏平印度的武力收台湾的还不是挺多，如果认真起来，我们也会爆出歧视黑人歧视朝鲜歧视伊斯兰歧视日本歧视韩国的新闻……不能那么双标，要怼就怼所有的歧视，歧视就是不对，无论哪个民族	[(36, '本'), (45, '台'), (46, '湾'), (69, '黑'), (70, '人'), (83, '本'), (86, '韩'), (87, '国'), (98, '标')]
CHSD-71	不应该拿到大庭广众之下，自家的一木三分地，，，，我想问问被经体育卫视不算是大庭广众之下吗？如果他的解说风格一向如此，不知道各位被经球迷如何听的下去。这种毫无遮拦素质低下的解说拿马扎坐在我家楼下胡咧咧我都听了恶刑	不应该拿到大庭广众之下，自家的一亩三分地，，，，我想问问北京体育卫视不算是大庭广众之下吗？如果他的解说风格一向如此，不知道各位北京球迷如何听的下去。这种毫无遮拦素质低下的解说拿马扎坐在我家楼下胡咧咧我都听了恶心	[(17, '亩'), (29, '北'), (30, '京'), (64, '北'), (65, '京'), (105, '心')]
CHSD-72	我只看到最近越来越多栋被人开始黑南方人了，连北方部分地区也不放过，天天胡编乱造，人均历史学家经济学家。	我只看到最近越来越多东北人开始黑南方人了，连北方部分地区也不放过，天天胡编乱造，人均历史学家经济学家。	[(11, '东'), (12, '北')]
CHSD-73	我有。,针对嗨仍等。,元因:,嗨仍在我们这里已经做了太多不可元谅的事情（广州）。,例如，枪见女学生。贩卖毒品。走私。等等。,学校说最近中非友好，而且国情不同，没法治本。这种事情只能一味力压。,这就是我讨厌嗨仍的元因。	我有。,针对黑人等。,原因:,黑人在我们这里已经做了太多不可原谅的事情（广州）。,例如，强奸女学生。贩卖毒品。走私。等等。,学校说最近中非友好，而且国情不同，没法治本。这种事情只能一味力压。,这就是我讨厌黑人的原因。	[(7, '黑'), (8, '人'), (12, '原'), (16, '黑'), (17, '人'), (31, '原'), (45, '强'), (46, '奸'), (103, '黑'), (104, '人'), (106, '原')]
CHSD-74	不应该。但现在的资源不都投入在谴责甚至王宝学姐，担忧难型该如何保护自己上了吗？	不应该。但现在的资源不都投入在谴责甚至网暴学姐，担忧男性该如何保护自己上了吗？	[(20, '网'), (21, '暴'), (27, '男'), (28, '性')]
CHSD-75	黑人受歧视除了历史残留因素，就是个人元因，如果你连这点都不肯承认，我们就根本不在一个水平上，不需要继续讨论。	黑人受歧视除了历史残留因素，就是个人原因，如果你连这点都不肯承认，我们就根本不在一个水平上，不需要继续讨论。	[(19, '原')]
CHSD-76	难道我见到一个冻被人还得身尽绷得紧紧的？随时担心他要做坏事了。那不得累死？直接歧视多好。	难道我见到一个东北人还得神经绷得紧紧的？随时担心他要做坏事了。那不得累死？直接歧视多好。	[(8, '东'), (9, '北'), (13, '神'), (14, '经')]
CHSD-77	法国小偷多数是法国人自己，打人野满我们吉普赛人和嗨仍可不背锅	法国小偷多数是法国人自己，打人野蛮我们吉普赛人和黑人可不背锅	[(17, '蛮'), (25, '黑'), (26, '人')]
CHSD-78	嗨人？有没有艾滋病？是否是三菲？	黑人？有没有艾滋病？是否是三非？	[(1, '黑'), (15, '非')]
CHSD-79	我觉得发展的还不错啊，疫情期间研制出试剂盒的速度可以说是首屈一指了吧，近几年的在料拧录取的省排名水涨船高。当然，问题也有，点名热搜张某平，需要整顿，希望学院领导别再包庇了。正视问题，解决问题，我还是觉得福大未来可期。	我觉得发展的还不错啊，疫情期间研制出试剂盒的速度可以说是首屈一指了吧，近几年的在辽宁录取的省排名水涨船高。当然，问题也有，点名热搜张某平，需要整顿，希望学院领导别再包庇了。正视问题，解决问题，我还是觉得福大未来可期。	[(41, '辽'), (42, '宁')]
CHSD-80	愿意这样做的女的，就是犯建。	愿意这样做的女的，就是犯贱。	[(13, '贱')]
CHSD-81	我告诉你，非人手里有个P的土地。那时的非洲，阿拉伯征服者是大爷，非人是怒你，非人被阉割以后卖到中东，在种植园里干到累死	我告诉你，黑人手里有个P的土地。那时的非洲，阿拉伯征服者是大爷，黑人是奴隶，黑人被阉割以后卖到中东，在种植园里干到累死	[(6, '黑'), (33, '黑'), (36, '奴'), (37, '隶'), (39, '黑')]
CHSD-82	完全的扯淡！能去美国的荒中人有几个是有独立意识的，一大群羡慕美国人生活的小资产阶级甚至大资产阶级，生活上至少有一定保障的，人口也少，那像飞人传统上就是怒你教育经济实力怎么比，	完全的扯淡！能去美国的黄种人有几个是有独立意识的，一大群羡慕美国人生活的小资产阶级甚至大资产阶级，生活上至少有一定保障的，人口也少，那像黑人传统上就是奴隶教育经济实力怎么比，	[(12, '黄'), (13, '种'), (69, '黑'), (76, '奴'), (77, '隶')]
CHSD-83	首先，我有提到我自己吗？其次，我觉得范bb就是蛇精脸，相由心生！娱乐圈真正的美女多了去了，像林青霞、王祖贤、赫本，等等一箩筐，范bb在她们面前就是笑筹一样！	首先，我有提到我自己吗？其次，我觉得范bb就是蛇精脸，相由心生！娱乐圈真正的美女多了去了，像林青霞、王祖贤、赫本，等等一箩筐，范bb在她们面前就是小丑一样！	[(74, '小'), (75, '丑')]
CHSD-84	如何评论12英镑就可以购买一个黑怒一辈子？问题的潜台词就是黑怒的劳动力不值钱，怒里主毫无人性，那为什么现在说黑人的命也是命。 这首先不是一个市场问题吗？	如何评论12英镑就可以购买一个黑奴一辈子？问题的潜台词就是黑奴的劳动力不值钱，奴隶主毫无人性，那为什么现在说黑人的命也是命。 这首先不是一个市场问题吗？	[(17, '奴'), (31, '奴'), (40, '奴'), (41, '隶')]
CHSD-85	元来庄园是从欧洲搬来的？不是本地建起来的。嗨弩是生产资料，也就是说你认为嗨人不应该解放为自由人，应该永远当弩力喽？	原来庄园是从欧洲搬来的？不是本地建起来的。黑奴是生产资料，也就是说你认为黑人不应该解放为自由人，应该永远当奴隶喽？	[(1, '原'), (22, '黑'), (23, '奴'), (37, '黑'), (54, '奴'), (55, '隶')]
CHSD-86	他的意思是，会召唤出一群翩翩起舞的广场熟女，在一群坚定的唯物质大吗的带领下，加椰子欢快的加入了舞蹈队伍	他的意思是，会召唤出一群翩翩起舞的广场熟女，在一群坚定的唯物质大妈的带领下，加椰子欢快的加入了舞蹈队伍	[(33, '妈')]
